"Plot Title: 52_3_s3"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10032083, SEN S/N: 10032083)","Temp, °C (LGR S/N: 10032083, SEN S/N: 10032083)","Coupler Detached (LGR S/N: 10032083, SEN S/N: 10032083)","Coupler Attached (LGR S/N: 10032083, SEN S/N: 10032083)","Host Connected (LGR S/N: 10032083, SEN S/N: 10032083)","End Of File (LGR S/N: 10032083, SEN S/N: 10032083)"
1,01/29/20 11:18:09 AM,93.276,13.365,,,,
2,01/29/20 11:18:27 AM,,,Logged,,,
3,01/29/20 11:28:09 AM,96.683,3.998,,,,
4,01/29/20 11:38:09 AM,96.685,3.155,,,,
5,01/29/20 11:48:09 AM,96.699,2.943,,,,
6,01/29/20 11:58:09 AM,96.697,2.837,,,,
7,01/29/20 12:08:09 PM,96.697,2.837,,,,
8,01/29/20 12:18:09 PM,96.676,2.730,,,,
9,01/29/20 12:28:09 PM,96.695,2.730,,,,
10,01/29/20 12:38:09 PM,96.713,2.730,,,,
11,01/29/20 12:48:09 PM,96.713,2.730,,,,
12,01/29/20 12:58:09 PM,96.695,2.730,,,,
13,01/29/20 01:08:09 PM,96.695,2.730,,,,
14,01/29/20 01:18:09 PM,96.711,2.624,,,,
15,01/29/20 01:28:09 PM,96.693,2.624,,,,
16,01/29/20 01:38:09 PM,96.711,2.624,,,,
17,01/29/20 01:48:09 PM,96.730,2.624,,,,
18,01/29/20 01:58:09 PM,96.730,2.624,,,,
19,01/29/20 02:08:09 PM,96.730,2.624,,,,
20,01/29/20 02:18:09 PM,96.730,2.624,,,,
21,01/29/20 02:28:09 PM,96.730,2.624,,,,
22,01/29/20 02:38:09 PM,96.748,2.624,,,,
23,01/29/20 02:48:09 PM,96.748,2.624,,,,
24,01/29/20 02:58:09 PM,96.785,2.624,,,,
25,01/29/20 03:08:09 PM,96.785,2.624,,,,
26,01/29/20 03:18:09 PM,96.785,2.624,,,,
27,01/29/20 03:28:09 PM,96.785,2.624,,,,
28,01/29/20 03:38:09 PM,96.804,2.624,,,,
29,01/29/20 03:48:09 PM,96.804,2.624,,,,
30,01/29/20 03:58:09 PM,96.822,2.624,,,,
31,01/29/20 04:08:09 PM,96.822,2.624,,,,
32,01/29/20 04:18:09 PM,96.822,2.624,,,,
33,01/29/20 04:28:09 PM,96.822,2.624,,,,
34,01/29/20 04:38:09 PM,96.822,2.624,,,,
35,01/29/20 04:48:09 PM,96.859,2.624,,,,
36,01/29/20 04:58:09 PM,96.859,2.624,,,,
37,01/29/20 05:08:09 PM,96.859,2.624,,,,
38,01/29/20 05:18:09 PM,96.859,2.624,,,,
39,01/29/20 05:28:09 PM,96.859,2.624,,,,
40,01/29/20 05:38:09 PM,96.878,2.624,,,,
41,01/29/20 05:48:09 PM,96.878,2.624,,,,
42,01/29/20 05:58:09 PM,96.878,2.624,,,,
43,01/29/20 06:08:09 PM,96.878,2.624,,,,
44,01/29/20 06:18:09 PM,96.896,2.624,,,,
45,01/29/20 06:28:09 PM,96.878,2.624,,,,
46,01/29/20 06:38:09 PM,96.915,2.624,,,,
47,01/29/20 06:48:09 PM,96.915,2.624,,,,
48,01/29/20 06:58:09 PM,96.934,2.624,,,,
49,01/29/20 07:08:09 PM,96.971,2.624,,,,
50,01/29/20 07:18:09 PM,96.971,2.624,,,,
51,01/29/20 07:28:09 PM,96.971,2.624,,,,
52,01/29/20 07:38:09 PM,96.989,2.624,,,,
53,01/29/20 07:48:09 PM,97.008,2.624,,,,
54,01/29/20 07:58:09 PM,97.008,2.624,,,,
55,01/29/20 08:08:09 PM,97.026,2.624,,,,
56,01/29/20 08:18:09 PM,97.045,2.624,,,,
57,01/29/20 08:28:09 PM,97.063,2.624,,,,
58,01/29/20 08:38:09 PM,97.100,2.624,,,,
59,01/29/20 08:48:09 PM,97.100,2.624,,,,
60,01/29/20 08:58:09 PM,97.100,2.624,,,,
61,01/29/20 09:08:09 PM,97.082,2.624,,,,
62,01/29/20 09:18:09 PM,97.100,2.624,,,,
63,01/29/20 09:28:09 PM,97.100,2.624,,,,
64,01/29/20 09:38:09 PM,97.119,2.624,,,,
65,01/29/20 09:48:09 PM,97.119,2.624,,,,
66,01/29/20 09:58:09 PM,97.119,2.624,,,,
67,01/29/20 10:08:09 PM,97.119,2.624,,,,
68,01/29/20 10:18:09 PM,97.100,2.624,,,,
69,01/29/20 10:28:09 PM,97.119,2.624,,,,
70,01/29/20 10:38:09 PM,97.119,2.624,,,,
71,01/29/20 10:48:09 PM,97.119,2.624,,,,
72,01/29/20 10:58:09 PM,97.137,2.624,,,,
73,01/29/20 11:08:09 PM,97.137,2.624,,,,
74,01/29/20 11:18:09 PM,97.137,2.624,,,,
75,01/29/20 11:28:09 PM,97.137,2.624,,,,
76,01/29/20 11:38:09 PM,97.137,2.624,,,,
77,01/29/20 11:48:09 PM,97.156,2.624,,,,
78,01/29/20 11:58:09 PM,97.174,2.624,,,,
79,01/30/20 12:08:09 AM,97.174,2.624,,,,
80,01/30/20 12:18:09 AM,97.174,2.624,,,,
81,01/30/20 12:28:09 AM,97.174,2.624,,,,
82,01/30/20 12:38:09 AM,97.156,2.624,,,,
83,01/30/20 12:48:09 AM,97.193,2.624,,,,
84,01/30/20 12:58:09 AM,97.211,2.624,,,,
85,01/30/20 01:08:09 AM,97.193,2.624,,,,
86,01/30/20 01:18:09 AM,97.211,2.624,,,,
87,01/30/20 01:28:09 AM,97.211,2.624,,,,
88,01/30/20 01:38:09 AM,97.230,2.624,,,,
89,01/30/20 01:48:09 AM,97.230,2.624,,,,
90,01/30/20 01:58:09 AM,97.230,2.624,,,,
91,01/30/20 02:08:09 AM,97.248,2.624,,,,
92,01/30/20 02:18:09 AM,97.230,2.624,,,,
93,01/30/20 02:28:09 AM,97.230,2.624,,,,
94,01/30/20 02:38:09 AM,97.248,2.624,,,,
95,01/30/20 02:48:09 AM,97.230,2.624,,,,
96,01/30/20 02:58:09 AM,97.248,2.624,,,,
97,01/30/20 03:08:09 AM,97.230,2.624,,,,
98,01/30/20 03:18:09 AM,97.230,2.624,,,,
99,01/30/20 03:28:09 AM,97.230,2.624,,,,
100,01/30/20 03:38:09 AM,97.230,2.624,,,,
101,01/30/20 03:48:09 AM,97.230,2.624,,,,
102,01/30/20 03:58:09 AM,97.248,2.624,,,,
103,01/30/20 04:08:09 AM,97.248,2.624,,,,
104,01/30/20 04:18:09 AM,97.248,2.624,,,,
105,01/30/20 04:28:09 AM,97.211,2.624,,,,
106,01/30/20 04:38:09 AM,97.230,2.624,,,,
107,01/30/20 04:48:09 AM,97.248,2.624,,,,
108,01/30/20 04:58:09 AM,97.248,2.624,,,,
109,01/30/20 05:08:09 AM,97.248,2.624,,,,
110,01/30/20 05:18:09 AM,97.230,2.624,,,,
111,01/30/20 05:28:09 AM,97.267,2.624,,,,
112,01/30/20 05:38:09 AM,97.267,2.624,,,,
113,01/30/20 05:48:09 AM,97.286,2.624,,,,
114,01/30/20 05:58:09 AM,97.267,2.624,,,,
115,01/30/20 06:08:09 AM,97.286,2.624,,,,
116,01/30/20 06:18:09 AM,97.286,2.624,,,,
117,01/30/20 06:28:09 AM,97.304,2.624,,,,
118,01/30/20 06:38:09 AM,97.323,2.624,,,,
119,01/30/20 06:48:09 AM,97.323,2.624,,,,
120,01/30/20 06:58:09 AM,97.323,2.624,,,,
121,01/30/20 07:08:09 AM,97.360,2.624,,,,
122,01/30/20 07:18:09 AM,97.360,2.624,,,,
123,01/30/20 07:28:09 AM,97.341,2.624,,,,
124,01/30/20 07:38:09 AM,97.360,2.624,,,,
125,01/30/20 07:48:09 AM,97.378,2.624,,,,
126,01/30/20 07:58:09 AM,97.378,2.624,,,,
127,01/30/20 08:08:09 AM,97.378,2.624,,,,
128,01/30/20 08:18:09 AM,97.378,2.624,,,,
129,01/30/20 08:28:09 AM,97.378,2.624,,,,
130,01/30/20 08:38:09 AM,97.397,2.624,,,,
131,01/30/20 08:48:09 AM,97.378,2.624,,,,
132,01/30/20 08:58:09 AM,97.397,2.624,,,,
133,01/30/20 09:08:09 AM,97.397,2.624,,,,
134,01/30/20 09:18:09 AM,97.397,2.624,,,,
135,01/30/20 09:28:09 AM,97.397,2.624,,,,
136,01/30/20 09:38:09 AM,97.434,2.624,,,,
137,01/30/20 09:48:09 AM,97.434,2.624,,,,
138,01/30/20 09:58:09 AM,97.415,2.624,,,,
139,01/30/20 10:08:09 AM,97.452,2.624,,,,
140,01/30/20 10:18:09 AM,97.452,2.624,,,,
141,01/30/20 10:28:09 AM,97.452,2.624,,,,
142,01/30/20 10:38:09 AM,97.452,2.624,,,,
143,01/30/20 10:48:09 AM,97.471,2.624,,,,
144,01/30/20 10:58:09 AM,97.452,2.624,,,,
145,01/30/20 11:08:09 AM,97.452,2.624,,,,
146,01/30/20 11:18:09 AM,97.452,2.624,,,,
147,01/30/20 11:28:09 AM,97.452,2.624,,,,
148,01/30/20 11:38:09 AM,97.434,2.624,,,,
149,01/30/20 11:48:09 AM,97.434,2.624,,,,
150,01/30/20 11:58:09 AM,97.415,2.624,,,,
151,01/30/20 12:08:09 PM,97.415,2.624,,,,
152,01/30/20 12:18:09 PM,97.397,2.624,,,,
153,01/30/20 12:28:09 PM,97.397,2.624,,,,
154,01/30/20 12:38:09 PM,97.397,2.624,,,,
155,01/30/20 12:48:09 PM,97.397,2.624,,,,
156,01/30/20 12:58:09 PM,97.397,2.624,,,,
157,01/30/20 01:08:09 PM,97.397,2.624,,,,
158,01/30/20 01:18:09 PM,97.378,2.624,,,,
159,01/30/20 01:28:09 PM,97.378,2.624,,,,
160,01/30/20 01:38:09 PM,97.378,2.624,,,,
161,01/30/20 01:48:09 PM,97.397,2.624,,,,
162,01/30/20 01:58:09 PM,97.397,2.624,,,,
163,01/30/20 02:08:09 PM,97.378,2.624,,,,
164,01/30/20 02:18:09 PM,97.397,2.624,,,,
165,01/30/20 02:28:09 PM,97.397,2.624,,,,
166,01/30/20 02:38:09 PM,97.397,2.624,,,,
167,01/30/20 02:48:09 PM,97.397,2.624,,,,
168,01/30/20 02:58:09 PM,97.415,2.624,,,,
169,01/30/20 03:08:09 PM,97.434,2.624,,,,
170,01/30/20 03:18:09 PM,97.434,2.624,,,,
171,01/30/20 03:28:09 PM,97.434,2.624,,,,
172,01/30/20 03:38:09 PM,97.471,2.624,,,,
173,01/30/20 03:48:09 PM,97.489,2.624,,,,
174,01/30/20 03:58:09 PM,97.471,2.624,,,,
175,01/30/20 04:08:09 PM,97.489,2.624,,,,
176,01/30/20 04:18:09 PM,97.489,2.624,,,,
177,01/30/20 04:28:09 PM,97.471,2.624,,,,
178,01/30/20 04:38:09 PM,97.489,2.624,,,,
179,01/30/20 04:48:09 PM,97.489,2.624,,,,
180,01/30/20 04:58:09 PM,97.489,2.624,,,,
181,01/30/20 05:08:09 PM,97.489,2.624,,,,
182,01/30/20 05:18:09 PM,97.489,2.624,,,,
183,01/30/20 05:28:09 PM,97.489,2.624,,,,
184,01/30/20 05:38:09 PM,97.489,2.624,,,,
185,01/30/20 05:48:09 PM,97.508,2.624,,,,
186,01/30/20 05:58:09 PM,97.489,2.624,,,,
187,01/30/20 06:08:09 PM,97.489,2.624,,,,
188,01/30/20 06:18:09 PM,97.489,2.624,,,,
189,01/30/20 06:28:09 PM,97.471,2.624,,,,
190,01/30/20 06:38:09 PM,97.489,2.624,,,,
191,01/30/20 06:48:09 PM,97.471,2.624,,,,
192,01/30/20 06:58:09 PM,97.508,2.624,,,,
193,01/30/20 07:08:09 PM,97.489,2.624,,,,
194,01/30/20 07:18:09 PM,97.471,2.624,,,,
195,01/30/20 07:28:09 PM,97.489,2.624,,,,
196,01/30/20 07:38:09 PM,97.508,2.624,,,,
197,01/30/20 07:48:09 PM,97.508,2.624,,,,
198,01/30/20 07:58:09 PM,97.508,2.624,,,,
199,01/30/20 08:08:09 PM,97.508,2.624,,,,
200,01/30/20 08:18:09 PM,97.489,2.624,,,,
201,01/30/20 08:28:09 PM,97.526,2.624,,,,
202,01/30/20 08:38:09 PM,97.508,2.624,,,,
203,01/30/20 08:48:09 PM,97.526,2.624,,,,
204,01/30/20 08:58:09 PM,97.526,2.624,,,,
205,01/30/20 09:08:09 PM,97.508,2.624,,,,
206,01/30/20 09:18:09 PM,97.526,2.624,,,,
207,01/30/20 09:28:09 PM,97.526,2.624,,,,
208,01/30/20 09:38:09 PM,97.508,2.624,,,,
209,01/30/20 09:48:09 PM,97.508,2.624,,,,
210,01/30/20 09:58:09 PM,97.508,2.624,,,,
211,01/30/20 10:08:09 PM,97.508,2.624,,,,
212,01/30/20 10:18:09 PM,97.508,2.624,,,,
213,01/30/20 10:28:09 PM,97.508,2.624,,,,
214,01/30/20 10:38:09 PM,97.489,2.624,,,,
215,01/30/20 10:48:09 PM,97.489,2.624,,,,
216,01/30/20 10:58:09 PM,97.489,2.624,,,,
217,01/30/20 11:08:09 PM,97.508,2.624,,,,
218,01/30/20 11:18:09 PM,97.489,2.624,,,,
219,01/30/20 11:28:09 PM,97.489,2.624,,,,
220,01/30/20 11:38:09 PM,97.508,2.624,,,,
221,01/30/20 11:48:09 PM,97.508,2.624,,,,
222,01/30/20 11:58:09 PM,97.489,2.624,,,,
223,01/31/20 12:08:09 AM,97.471,2.624,,,,
224,01/31/20 12:18:09 AM,97.489,2.624,,,,
225,01/31/20 12:28:09 AM,97.471,2.624,,,,
226,01/31/20 12:38:09 AM,97.471,2.624,,,,
227,01/31/20 12:48:09 AM,97.471,2.624,,,,
228,01/31/20 12:58:09 AM,97.471,2.624,,,,
229,01/31/20 01:08:09 AM,97.489,2.624,,,,
230,01/31/20 01:18:09 AM,97.489,2.624,,,,
231,01/31/20 01:28:09 AM,97.471,2.624,,,,
232,01/31/20 01:38:09 AM,97.471,2.624,,,,
233,01/31/20 01:48:09 AM,97.489,2.624,,,,
234,01/31/20 01:58:09 AM,97.471,2.624,,,,
235,01/31/20 02:08:09 AM,97.471,2.624,,,,
236,01/31/20 02:18:09 AM,97.452,2.624,,,,
237,01/31/20 02:28:09 AM,97.452,2.624,,,,
238,01/31/20 02:38:09 AM,97.434,2.624,,,,
239,01/31/20 02:48:09 AM,97.452,2.624,,,,
240,01/31/20 02:58:09 AM,97.471,2.624,,,,
241,01/31/20 03:08:09 AM,97.434,2.624,,,,
242,01/31/20 03:18:09 AM,97.452,2.624,,,,
243,01/31/20 03:28:09 AM,97.452,2.624,,,,
244,01/31/20 03:38:09 AM,97.452,2.624,,,,
245,01/31/20 03:48:09 AM,97.452,2.624,,,,
246,01/31/20 03:58:09 AM,97.452,2.624,,,,
247,01/31/20 04:08:09 AM,97.452,2.624,,,,
248,01/31/20 04:18:09 AM,97.471,2.624,,,,
249,01/31/20 04:28:09 AM,97.415,2.624,,,,
250,01/31/20 04:38:09 AM,97.434,2.624,,,,
251,01/31/20 04:48:09 AM,97.434,2.624,,,,
252,01/31/20 04:58:09 AM,97.415,2.624,,,,
253,01/31/20 05:08:09 AM,97.415,2.624,,,,
254,01/31/20 05:18:09 AM,97.415,2.624,,,,
255,01/31/20 05:28:09 AM,97.434,2.624,,,,
256,01/31/20 05:38:09 AM,97.434,2.624,,,,
257,01/31/20 05:48:09 AM,97.434,2.624,,,,
258,01/31/20 05:58:09 AM,97.415,2.624,,,,
259,01/31/20 06:08:09 AM,97.434,2.624,,,,
260,01/31/20 06:18:09 AM,97.452,2.624,,,,
261,01/31/20 06:28:09 AM,97.434,2.624,,,,
262,01/31/20 06:38:09 AM,97.452,2.624,,,,
263,01/31/20 06:48:09 AM,97.471,2.624,,,,
264,01/31/20 06:58:09 AM,97.452,2.624,,,,
265,01/31/20 07:08:09 AM,97.452,2.624,,,,
266,01/31/20 07:18:09 AM,97.452,2.624,,,,
267,01/31/20 07:28:09 AM,97.434,2.624,,,,
268,01/31/20 07:38:09 AM,97.452,2.624,,,,
269,01/31/20 07:48:09 AM,97.452,2.624,,,,
270,01/31/20 07:58:09 AM,97.471,2.624,,,,
271,01/31/20 08:08:09 AM,97.452,2.624,,,,
272,01/31/20 08:18:09 AM,97.452,2.624,,,,
273,01/31/20 08:28:09 AM,97.452,2.624,,,,
274,01/31/20 08:38:09 AM,97.452,2.624,,,,
275,01/31/20 08:48:09 AM,97.434,2.624,,,,
276,01/31/20 08:58:09 AM,97.434,2.624,,,,
277,01/31/20 09:08:09 AM,97.434,2.624,,,,
278,01/31/20 09:18:09 AM,97.452,2.624,,,,
279,01/31/20 09:28:09 AM,97.452,2.624,,,,
280,01/31/20 09:38:09 AM,97.471,2.624,,,,
281,01/31/20 09:48:09 AM,97.471,2.624,,,,
282,01/31/20 09:58:09 AM,97.471,2.624,,,,
283,01/31/20 10:08:09 AM,97.489,2.624,,,,
284,01/31/20 10:18:09 AM,97.471,2.624,,,,
285,01/31/20 10:28:09 AM,97.452,2.624,,,,
286,01/31/20 10:38:09 AM,97.471,2.624,,,,
287,01/31/20 10:48:09 AM,97.452,2.624,,,,
288,01/31/20 10:58:09 AM,97.471,2.624,,,,
289,01/31/20 11:08:09 AM,97.452,2.624,,,,
290,01/31/20 11:18:09 AM,97.452,2.624,,,,
291,01/31/20 11:28:09 AM,97.434,2.624,,,,
292,01/31/20 11:38:09 AM,97.415,2.624,,,,
293,01/31/20 11:48:09 AM,97.415,2.624,,,,
294,01/31/20 11:58:09 AM,97.397,2.624,,,,
295,01/31/20 12:08:09 PM,97.415,2.624,,,,
296,01/31/20 12:18:09 PM,97.378,2.624,,,,
297,01/31/20 12:28:09 PM,97.360,2.624,,,,
298,01/31/20 12:38:09 PM,97.378,2.624,,,,
299,01/31/20 12:48:09 PM,97.360,2.624,,,,
300,01/31/20 12:58:09 PM,97.341,2.624,,,,
301,01/31/20 01:08:09 PM,97.323,2.624,,,,
302,01/31/20 01:18:09 PM,97.323,2.624,,,,
303,01/31/20 01:28:09 PM,97.304,2.624,,,,
304,01/31/20 01:38:09 PM,97.304,2.624,,,,
305,01/31/20 01:48:09 PM,97.304,2.624,,,,
306,01/31/20 01:58:09 PM,97.304,2.624,,,,
307,01/31/20 02:08:09 PM,97.323,2.624,,,,
308,01/31/20 02:18:09 PM,97.286,2.624,,,,
309,01/31/20 02:28:09 PM,97.304,2.624,,,,
310,01/31/20 02:38:09 PM,97.304,2.624,,,,
311,01/31/20 02:48:09 PM,97.304,2.624,,,,
312,01/31/20 02:58:09 PM,97.323,2.624,,,,
313,01/31/20 03:08:09 PM,97.323,2.624,,,,
314,01/31/20 03:18:09 PM,97.323,2.624,,,,
315,01/31/20 03:28:09 PM,97.323,2.624,,,,
316,01/31/20 03:38:09 PM,97.360,2.624,,,,
317,01/31/20 03:48:09 PM,97.341,2.624,,,,
318,01/31/20 03:58:09 PM,97.341,2.624,,,,
319,01/31/20 04:08:09 PM,97.341,2.624,,,,
320,01/31/20 04:18:09 PM,97.341,2.624,,,,
321,01/31/20 04:28:09 PM,97.360,2.624,,,,
322,01/31/20 04:38:09 PM,97.341,2.624,,,,
323,01/31/20 04:48:09 PM,97.341,2.624,,,,
324,01/31/20 04:58:09 PM,97.323,2.624,,,,
325,01/31/20 05:08:09 PM,97.286,2.624,,,,
326,01/31/20 05:18:09 PM,97.267,2.624,,,,
327,01/31/20 05:28:09 PM,97.248,2.624,,,,
328,01/31/20 05:38:09 PM,97.230,2.624,,,,
329,01/31/20 05:48:09 PM,97.248,2.624,,,,
330,01/31/20 05:58:09 PM,97.248,2.624,,,,
331,01/31/20 06:08:09 PM,97.304,2.624,,,,
332,01/31/20 06:18:09 PM,97.248,2.624,,,,
333,01/31/20 06:28:09 PM,97.267,2.624,,,,
334,01/31/20 06:38:09 PM,97.248,2.624,,,,
335,01/31/20 06:48:09 PM,97.230,2.624,,,,
336,01/31/20 06:58:09 PM,97.248,2.624,,,,
337,01/31/20 07:08:09 PM,97.267,2.624,,,,
338,01/31/20 07:18:09 PM,97.286,2.624,,,,
339,01/31/20 07:28:09 PM,97.286,2.624,,,,
340,01/31/20 07:38:09 PM,97.323,2.624,,,,
341,01/31/20 07:48:09 PM,97.304,2.624,,,,
342,01/31/20 07:58:09 PM,97.304,2.624,,,,
343,01/31/20 08:08:09 PM,97.267,2.624,,,,
344,01/31/20 08:18:09 PM,97.267,2.624,,,,
345,01/31/20 08:28:09 PM,97.248,2.624,,,,
346,01/31/20 08:38:09 PM,97.230,2.624,,,,
347,01/31/20 08:48:09 PM,97.248,2.624,,,,
348,01/31/20 08:58:09 PM,97.248,2.624,,,,
349,01/31/20 09:08:09 PM,97.230,2.624,,,,
350,01/31/20 09:18:09 PM,97.230,2.624,,,,
351,01/31/20 09:28:09 PM,97.248,2.624,,,,
352,01/31/20 09:38:09 PM,97.230,2.624,,,,
353,01/31/20 09:48:09 PM,97.211,2.624,,,,
354,01/31/20 09:58:09 PM,97.211,2.624,,,,
355,01/31/20 10:08:09 PM,97.193,2.624,,,,
356,01/31/20 10:18:09 PM,97.174,2.624,,,,
357,01/31/20 10:28:09 PM,97.137,2.624,,,,
358,01/31/20 10:38:09 PM,97.119,2.624,,,,
359,01/31/20 10:48:09 PM,97.137,2.624,,,,
360,01/31/20 10:58:09 PM,97.082,2.624,,,,
361,01/31/20 11:08:09 PM,97.100,2.624,,,,
362,01/31/20 11:18:09 PM,97.100,2.624,,,,
363,01/31/20 11:28:09 PM,97.063,2.624,,,,
364,01/31/20 11:38:09 PM,97.045,2.624,,,,
365,01/31/20 11:48:09 PM,97.045,2.624,,,,
366,01/31/20 11:58:09 PM,97.045,2.624,,,,
367,02/01/20 12:08:09 AM,96.989,2.624,,,,
368,02/01/20 12:18:09 AM,96.989,2.624,,,,
369,02/01/20 12:28:09 AM,96.971,2.624,,,,
370,02/01/20 12:38:09 AM,96.952,2.624,,,,
371,02/01/20 12:48:09 AM,96.952,2.624,,,,
372,02/01/20 12:58:09 AM,96.971,2.624,,,,
373,02/01/20 01:08:09 AM,96.971,2.624,,,,
374,02/01/20 01:18:09 AM,96.952,2.624,,,,
375,02/01/20 01:28:09 AM,96.971,2.624,,,,
376,02/01/20 01:38:09 AM,96.971,2.624,,,,
377,02/01/20 01:48:09 AM,96.952,2.624,,,,
378,02/01/20 01:58:09 AM,96.952,2.624,,,,
379,02/01/20 02:08:09 AM,96.952,2.624,,,,
380,02/01/20 02:18:09 AM,96.934,2.624,,,,
381,02/01/20 02:28:09 AM,96.934,2.624,,,,
382,02/01/20 02:38:09 AM,96.915,2.624,,,,
383,02/01/20 02:48:09 AM,96.894,2.517,,,,
384,02/01/20 02:58:09 AM,96.878,2.624,,,,
385,02/01/20 03:08:09 AM,96.859,2.624,,,,
386,02/01/20 03:18:09 AM,96.859,2.624,,,,
387,02/01/20 03:28:09 AM,96.841,2.624,,,,
388,02/01/20 03:38:09 AM,96.802,2.517,,,,
389,02/01/20 03:48:09 AM,96.822,2.624,,,,
390,02/01/20 03:58:09 AM,96.804,2.624,,,,
391,02/01/20 04:08:09 AM,96.802,2.517,,,,
392,02/01/20 04:18:09 AM,96.804,2.624,,,,
393,02/01/20 04:28:09 AM,96.785,2.624,,,,
394,02/01/20 04:38:09 AM,96.783,2.517,,,,
395,02/01/20 04:48:09 AM,96.767,2.624,,,,
396,02/01/20 04:58:09 AM,96.767,2.624,,,,
397,02/01/20 05:08:09 AM,96.748,2.624,,,,
398,02/01/20 05:18:09 AM,96.746,2.517,,,,
399,02/01/20 05:28:09 AM,96.746,2.517,,,,
400,02/01/20 05:38:09 AM,96.748,2.624,,,,
401,02/01/20 05:48:09 AM,96.691,2.517,,,,
402,02/01/20 05:58:09 AM,96.691,2.517,,,,
403,02/01/20 06:08:09 AM,96.672,2.517,,,,
404,02/01/20 06:18:09 AM,96.691,2.517,,,,
405,02/01/20 06:28:09 AM,96.672,2.517,,,,
406,02/01/20 06:38:09 AM,96.672,2.517,,,,
407,02/01/20 06:48:09 AM,96.654,2.517,,,,
408,02/01/20 06:58:09 AM,96.654,2.517,,,,
409,02/01/20 07:08:09 AM,96.616,2.517,,,,
410,02/01/20 07:18:09 AM,96.635,2.517,,,,
411,02/01/20 07:28:09 AM,96.654,2.517,,,,
412,02/01/20 07:38:09 AM,96.635,2.517,,,,
413,02/01/20 07:48:09 AM,96.635,2.517,,,,
414,02/01/20 07:58:09 AM,96.635,2.517,,,,
415,02/01/20 08:08:09 AM,96.616,2.517,,,,
416,02/01/20 08:18:09 AM,96.635,2.517,,,,
417,02/01/20 08:28:09 AM,96.654,2.517,,,,
418,02/01/20 08:38:09 AM,96.616,2.517,,,,
419,02/01/20 08:48:09 AM,96.616,2.517,,,,
420,02/01/20 08:58:09 AM,96.598,2.517,,,,
421,02/01/20 09:08:09 AM,96.598,2.517,,,,
422,02/01/20 09:18:09 AM,96.616,2.517,,,,
423,02/01/20 09:28:09 AM,96.598,2.517,,,,
424,02/01/20 09:38:09 AM,96.598,2.517,,,,
425,02/01/20 09:48:09 AM,96.579,2.517,,,,
426,02/01/20 09:58:09 AM,96.579,2.517,,,,
427,02/01/20 10:08:09 AM,96.561,2.517,,,,
428,02/01/20 10:18:09 AM,96.542,2.517,,,,
429,02/01/20 10:28:09 AM,96.524,2.517,,,,
430,02/01/20 10:38:09 AM,96.505,2.517,,,,
431,02/01/20 10:48:09 AM,96.487,2.517,,,,
432,02/01/20 10:58:09 AM,96.468,2.517,,,,
433,02/01/20 11:08:09 AM,96.450,2.517,,,,
434,02/01/20 11:18:09 AM,96.450,2.517,,,,
435,02/01/20 11:28:09 AM,96.450,2.517,,,,
436,02/01/20 11:38:09 AM,96.431,2.517,,,,
437,02/01/20 11:48:09 AM,96.413,2.517,,,,
438,02/01/20 11:58:09 AM,96.394,2.517,,,,
439,02/01/20 12:08:09 PM,96.357,2.517,,,,
440,02/01/20 12:18:09 PM,96.320,2.517,,,,
441,02/01/20 12:28:09 PM,96.283,2.517,,,,
442,02/01/20 12:38:09 PM,96.283,2.517,,,,
443,02/01/20 12:48:09 PM,96.246,2.517,,,,
444,02/01/20 12:58:09 PM,96.209,2.517,,,,
445,02/01/20 01:08:09 PM,96.190,2.517,,,,
446,02/01/20 01:18:09 PM,96.172,2.517,,,,
447,02/01/20 01:28:09 PM,96.153,2.517,,,,
448,02/01/20 01:38:09 PM,96.135,2.517,,,,
449,02/01/20 01:48:09 PM,96.116,2.517,,,,
450,02/01/20 01:58:09 PM,96.098,2.517,,,,
451,02/01/20 02:08:09 PM,96.079,2.517,,,,
452,02/01/20 02:18:09 PM,96.061,2.517,,,,
453,02/01/20 02:28:09 PM,96.042,2.517,,,,
454,02/01/20 02:38:09 PM,96.024,2.517,,,,
455,02/01/20 02:48:09 PM,96.024,2.517,,,,
456,02/01/20 02:58:09 PM,96.024,2.517,,,,
457,02/01/20 03:08:09 PM,96.042,2.517,,,,
458,02/01/20 03:18:09 PM,96.024,2.517,,,,
459,02/01/20 03:28:09 PM,96.005,2.517,,,,
460,02/01/20 03:38:09 PM,96.005,2.517,,,,
461,02/01/20 03:48:09 PM,95.987,2.517,,,,
462,02/01/20 03:58:09 PM,95.968,2.517,,,,
463,02/01/20 04:08:09 PM,95.987,2.517,,,,
464,02/01/20 04:18:09 PM,95.987,2.517,,,,
465,02/01/20 04:28:09 PM,95.968,2.517,,,,
466,02/01/20 04:38:09 PM,95.950,2.517,,,,
467,02/01/20 04:48:09 PM,95.950,2.517,,,,
468,02/01/20 04:58:09 PM,95.931,2.517,,,,
469,02/01/20 05:08:09 PM,95.931,2.517,,,,
470,02/01/20 05:18:09 PM,95.913,2.517,,,,
471,02/01/20 05:28:09 PM,95.913,2.517,,,,
472,02/01/20 05:38:09 PM,95.876,2.517,,,,
473,02/01/20 05:48:09 PM,95.876,2.517,,,,
474,02/01/20 05:58:09 PM,95.894,2.517,,,,
475,02/01/20 06:08:09 PM,95.876,2.517,,,,
